collision_id,manifest_record_id,source_path,proposed_target_path,collision_type,source_sha256,existing_target_sha256_if_readable,severity,automatic_resolution_allowed,required_resolution
COLX-0001,MFR-0044,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CORRECTIVE_INTAKES\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\README.md,MULTIPLE_SOURCES_ONE_DESTINATION,81482930b6692334c5e8a237ccf0b0080848adfae29bb35c0de237042a228392,,S2,NO,Human must assign unique destinations or drop duplicate mapping
COLX-0002,MFR-0045,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CURSOR_PACKETS\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\README.md,MULTIPLE_SOURCES_ONE_DESTINATION,936a17a70900f866359df7384cf0587ddb0f80e111a153e871bb22bfd35c5e1a,,S2,NO,Human must assign unique destinations or drop duplicate mapping
COLX-0003,MFR-0047,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\README.md,MULTIPLE_SOURCES_ONE_DESTINATION,ac909aca133ae0afbc408cf0a741416d487e701a4c01d6852a12a4dbdb96bf32,,S2,NO,Human must assign unique destinations or drop duplicate mapping
COLX-0004,MFR-0001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL-OPS-001 — Crisis Liturgies Role Separation and Execution Protocol v1.0.gdoc,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL-OPS-001 — Crisis Liturgies Role Separation and Execution Protocol v1.0.gdoc,DESTINATION_PARENT_ABSENT,ada5ae5cb6ff6133570c6ab5e805d86161dfea990e8f6ab1b108bb1281dc5e7b,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0005,MFR-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,DESTINATION_PARENT_ABSENT,cb3a680d903fe6bc0be6a23f640e2b67a3a2f0c700c847894f2db83cc91f4054,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0006,MFR-0003,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,DESTINATION_PARENT_ABSENT,98ebaec3f432ebf4d3cf34daf0e1fd8b40ac3bc6c0a29a9a3d8f377a9962dffe,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0007,MFR-0004,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,DESTINATION_PARENT_ABSENT,66eef2386e14a8602738e7f9cc5f3cfd3c83cf50ba218ff043de7ea684e6967c,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0008,MFR-0005,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_PACKAGE_2026-07-13.zip,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_EVIDENCE_FREEZE_PACKAGE_2026-07-13.zip,DESTINATION_PARENT_ABSENT,d998d67747ee71c3c7f147c746848acce6a9737c4e03814b1c5925fd11f062a0,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0009,MFR-0006,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_FINAL_CLOSURE_AND_PHASE_01_CHARTER_2026-07-13.zip,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_FINAL_CLOSURE_AND_PHASE_01_CHARTER_2026-07-13.zip,DESTINATION_PARENT_ABSENT,c9fe1ff43ceaa89092aae604e58f8c6dd531d789ffd145c5559c6faa7d1e9b84,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0010,MFR-0007,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,DESTINATION_PARENT_ABSENT,6017f61299c9aa11319ef25fa505098dec4e0729800917f04e73da9c29115609,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0011,MFR-0008,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,DESTINATION_PARENT_ABSENT,af019314861256545b691307d9593f62f260e92c62c05c7b39c07cec18506228,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0012,MFR-0009,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,DESTINATION_PARENT_ABSENT,ef53e1a4342cec06abd78ca04de2ee911a42809c0054f38a1a6916bd7f983434,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0013,MFR-0010,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,DESTINATION_PARENT_ABSENT,e4caeaba165b32f76022b8194c68d3b3cc6c2d327376fe94db35044630a8ff29,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
