manifest_record_id,batch_id,source_absolute_path,source_relative_path,source_parent_path,source_filename,source_extension,source_bytes,source_modified_time_utc,source_sha256,source_git_status,record_type,lifecycle_state,program,volume,authority_state,authority_evidence,proposed_target_absolute_path,proposed_target_relative_path,target_parent_path,target_parent_exists,target_exists,target_collision_type,path_length,path_validation_status,external_binary,external_reference_required,rollback_source_reference,rollback_hash,eligibility_status,inclusion_or_exclusion_reason,human_review_required
MFR-0001,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL-OPS-001 — Crisis Liturgies Role Separation and Execution Protocol v1.0.gdoc,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL-OPS-001 — Crisis Liturgies Role Separation and Execution Protocol v1.0.gdoc,.gdoc,176,2026-07-13T03:17:29Z,ada5ae5cb6ff6133570c6ab5e805d86161dfea990e8f6ab1b108bb1281dc5e7b,OUTSIDE_REPO,DRIVE_NATIVE_DOC,CONTROL_CANDIDATE,CRISIS_LITURGIES,,UNRESOLVED,CL-OPS-001 exists as .gdoc only in Drive listing,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL-OPS-001 — Crisis Liturgies Role Separation and Execution Protocol v1.0.gdoc,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL-OPS-001 — Crisis Liturgies Role Separation and Execution Protocol v1.0.gdoc,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,175,OK,NO,NO,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL-OPS-001 — Crisis Liturgies Role Separation and Execution Protocol v1.0.gdoc,ada5ae5cb6ff6133570c6ab5e805d86161dfea990e8f6ab1b108bb1281dc5e7b,EXCLUDED_AUTHORITY_UNRESOLVED,Google Docs native stub (.gdoc) is not portable governance text; export/authority path unresolved,YES
MFR-0002,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,.md,9042,2026-07-13T03:14:19Z,cb3a680d903fe6bc0be6a23f640e2b67a3a2f0c700c847894f2db83cc91f4054,OUTSIDE_REPO,GOVERNANCE_CONTROL_RECORD,CONTROL_CANDIDATE,CRISIS_LITURGIES,,DRIVE_CONTROL_CANDIDATE,Phase 00/01/architecture control package on Drive,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,145,OK,NO,NO,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,cb3a680d903fe6bc0be6a23f640e2b67a3a2f0c700c847894f2db83cc91f4054,ELIGIBLE_FOR_DRY_RUN,Governance/registry text in Drive control package mapped by MAP-001 to proposed authority lane,YES
MFR-0003,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,.md,4990,2026-07-13T12:41:43Z,98ebaec3f432ebf4d3cf34daf0e1fd8b40ac3bc6c0a29a9a3d8f377a9962dffe,OUTSIDE_REPO,GOVERNANCE_CONTROL_RECORD,CONTROL_CANDIDATE,CRISIS_LITURGIES,,DRIVE_CONTROL_CANDIDATE,Phase 00/01/architecture control package on Drive,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,155,OK,NO,NO,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,98ebaec3f432ebf4d3cf34daf0e1fd8b40ac3bc6c0a29a9a3d8f377a9962dffe,ELIGIBLE_FOR_DRY_RUN,Governance/registry text in Drive control package mapped by MAP-001 to proposed authority lane,YES
MFR-0004,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,.md,2060,2026-07-13T12:41:53Z,66eef2386e14a8602738e7f9cc5f3cfd3c83cf50ba218ff043de7ea684e6967c,OUTSIDE_REPO,GOVERNANCE_CONTROL_RECORD,CONTROL_CANDIDATE,CRISIS_LITURGIES,,DRIVE_CONTROL_CANDIDATE,Phase 00/01/architecture control package on Drive,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,156,OK,NO,NO,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,66eef2386e14a8602738e7f9cc5f3cfd3c83cf50ba218ff043de7ea684e6967c,ELIGIBLE_FOR_DRY_RUN,Governance/registry text in Drive control package mapped by MAP-001 to proposed authority lane,YES
MFR-0005,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_PACKAGE_2026-07-13.zip,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL_PHASE_00_EVIDENCE_FREEZE_PACKAGE_2026-07-13.zip,.zip,33803,2026-07-13T12:40:46Z,d998d67747ee71c3c7f147c746848acce6a9737c4e03814b1c5925fd11f062a0,OUTSIDE_REPO,ARCHIVE_PACKAGE,EVIDENCE_PACKAGE,CRISIS_LITURGIES,,DRIVE_CONTROL_CANDIDATE,MAP-001 Drive CL OPS control package,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_EVIDENCE_FREEZE_PACKAGE_2026-07-13.zip,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL_PHASE_00_EVIDENCE_FREEZE_PACKAGE_2026-07-13.zip,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,147,OK,YES,YES,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_PACKAGE_2026-07-13.zip,d998d67747ee71c3c7f147c746848acce6a9737c4e03814b1c5925fd11f062a0,EXCLUDED_BINARY,Binary/archive extension .zip not admitted to MIG-001 governance batch,YES
MFR-0006,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_FINAL_CLOSURE_AND_PHASE_01_CHARTER_2026-07-13.zip,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL_PHASE_00_FINAL_CLOSURE_AND_PHASE_01_CHARTER_2026-07-13.zip,.zip,6736,2026-07-13T14:05:37Z,c9fe1ff43ceaa89092aae604e58f8c6dd531d789ffd145c5559c6faa7d1e9b84,OUTSIDE_REPO,ARCHIVE_PACKAGE,EVIDENCE_PACKAGE,CRISIS_LITURGIES,,DRIVE_CONTROL_CANDIDATE,MAP-001 Drive CL OPS control package,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_FINAL_CLOSURE_AND_PHASE_01_CHARTER_2026-07-13.zip,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL_PHASE_00_FINAL_CLOSURE_AND_PHASE_01_CHARTER_2026-07-13.zip,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,158,OK,YES,YES,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_FINAL_CLOSURE_AND_PHASE_01_CHARTER_2026-07-13.zip,c9fe1ff43ceaa89092aae604e58f8c6dd531d789ffd145c5559c6faa7d1e9b84,EXCLUDED_BINARY,Binary/archive extension .zip not admitted to MIG-001 governance batch,YES
MFR-0007,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,.json,10531,2026-07-13T12:43:03Z,6017f61299c9aa11319ef25fa505098dec4e0729800917f04e73da9c29115609,OUTSIDE_REPO,GOVERNANCE_CONTROL_RECORD,CONTROL_CANDIDATE,CRISIS_LITURGIES,,DRIVE_CONTROL_CANDIDATE,Phase 00/01/architecture control package on Drive,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,147,OK,NO,NO,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,6017f61299c9aa11319ef25fa505098dec4e0729800917f04e73da9c29115609,ELIGIBLE_FOR_DRY_RUN,Governance/registry text in Drive control package mapped by MAP-001 to proposed authority lane,YES
MFR-0008,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,.md,4336,2026-07-13T12:41:10Z,af019314861256545b691307d9593f62f260e92c62c05c7b39c07cec18506228,OUTSIDE_REPO,GOVERNANCE_CONTROL_RECORD,CONTROL_CANDIDATE,CRISIS_LITURGIES,,DRIVE_CONTROL_CANDIDATE,Phase 00/01/architecture control package on Drive,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,145,OK,NO,NO,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,af019314861256545b691307d9593f62f260e92c62c05c7b39c07cec18506228,ELIGIBLE_FOR_DRY_RUN,Governance/registry text in Drive control package mapped by MAP-001 to proposed authority lane,YES
MFR-0009,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,.json,24954,2026-07-13T12:42:44Z,ef53e1a4342cec06abd78ca04de2ee911a42809c0054f38a1a6916bd7f983434,OUTSIDE_REPO,GOVERNANCE_CONTROL_RECORD,CONTROL_CANDIDATE,CRISIS_LITURGIES,,DRIVE_CONTROL_CANDIDATE,Phase 00/01/architecture control package on Drive,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,149,OK,NO,NO,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,ef53e1a4342cec06abd78ca04de2ee911a42809c0054f38a1a6916bd7f983434,ELIGIBLE_FOR_DRY_RUN,Governance/registry text in Drive control package mapped by MAP-001 to proposed authority lane,YES
MFR-0010,CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,.md,11517,2026-07-13T12:41:00Z,e4caeaba165b32f76022b8194c68d3b3cc6c2d327376fe94db35044630a8ff29,OUTSIDE_REPO,GOVERNANCE_CONTROL_RECORD,CONTROL_CANDIDATE,CRISIS_LITURGIES,,DRIVE_CONTROL_CANDIDATE,Phase 00/01/architecture control package on Drive,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,NO,NO,NONE,147,OK,NO,NO,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,e4caeaba165b32f76022b8194c68d3b3cc6c2d327376fe94db35044630a8ff29,ELIGIBLE_FOR_DRY_RUN,Governance/registry text in Drive control package mapped by MAP-001 to proposed authority lane,YES
