artifact_id,filename,absolute_path,extension,bytes,modified_time_utc,sha256,artifact_role,expected_or_unexpected,readable,schema_valid_if_applicable,internal_references_valid,authority_language_present,qc_status,qc_findings
ART-001,CL_EXTERNAL_BINARY_REFERENCE.schema.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_EXTERNAL_BINARY_REFERENCE.schema.json,.json,3914,2026-07-13T15:31:04Z,de8ce977d82ba3f026881b6d9e16130c9388028f36bea6f55751a9b33265090f,external_binary_schema,EXPECTED,YES,YES,YES,NO,PASS,SCHEMA: valid JSON Schema draft 2020-12; required locator/checksum/recovery present
ART-002,CL_MIGRATION_MANIFEST.schema.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_MIGRATION_MANIFEST.schema.json,.json,8919,2026-07-13T15:31:04Z,d596cdcfd8e4b63e30285b9420d1805399bbda5d0d6e1a0b86086e06b513b496,migration_manifest_schema,EXPECTED,YES,YES,YES,NO,PASS WITH PATCHES,FS_SAFETY: overwrite prohibition not explicit | SCHEMA_NOTE: no first-class collision/occupancy fields on migration_item | SCHEMA: deletion_authorized/builder_authorized const false; COPY mode requires human_authorization_record
ART-003,CL_MIG_001_GOVERNANCE_AND_REGISTRIES_PLAN.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_MIG_001_GOVERNANCE_AND_REGISTRIES_PLAN.md,.md,5427,2026-07-13T15:30:56Z,50b71fb891f725892438b90ef3af3afc2d5aecb80ff01dc246cee0d5f0b823a7,mig_001_batch_plan,EXPECTED,YES,N/A,YES,YES,RETURN FOR REVISION,INSTITUTIONAL: treats repository/root as ratified or canonical active authority; Phase 02B requires candidate language | FS_SAFETY: path-length / invalid-character checks not specified
ART-004,CL_PHASE_02_COLLISION_REPORT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_COLLISION_REPORT.md,.md,5211,2026-07-13T15:31:50Z,b24596dc4d56c627f12e54713e80f8b353d9ecc30b9f7d1517212a6b0c91d363,collision_report,EXPECTED,YES,N/A,YES,YES,PASS WITH PATCHES,INSTITUTIONAL: treats repository/root as ratified or canonical active authority; Phase 02B requires candidate language | FS_SAFETY: path-length / invalid-character checks not specified | FS_SAFETY: occupancy recognized; stop-on-collision rule present; identical-hash not delete license | INSTITUTIONAL: correctly denies treating occupancy as ratified final layout
ART-005,CL_PHASE_02_PATH_REFERENCE_SCAN_PLAN.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_PATH_REFERENCE_SCAN_PLAN.md,.md,4541,2026-07-13T15:32:00Z,cf8a6069e070b609502af712bbada8ce4abd726a81c6afa3fe69e75110008c17,path_reference_scan_plan,EXPECTED,YES,N/A,YES,YES,PASS,PROVENANCE: scan plan defined; execution deferred (acceptable for planning package)
ART-006,CL_PHASE_02_PLANNING_RECEIPT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_PLANNING_RECEIPT.md,.md,3925,2026-07-13T15:32:21Z,c3464052c59c6501a15e329868ce9b37ce68d7c4dc2d5b954729167bbd913e4a,planning_receipt,EXPECTED,YES,N/A,YES,NO,PASS,No material defects under Phase 02B lenses
ART-007,CL_PHASE_02_ROLLBACK_PLAN.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_ROLLBACK_PLAN.md,.md,4261,2026-07-13T15:32:00Z,65b12223790429e1da9d07950f61fb92a3c5d1219ff696378001bb2ebcafc0dd,rollback_plan,EXPECTED,YES,N/A,YES,NO,PASS WITH PATCHES,FS_SAFETY: path-length / invalid-character checks not specified | ROLLBACK: default RB-A DELETE_WRITTEN_TARGETS_ONLY conflicts with Phase 02B requirement that rollback must not depend on deletion of destination material; need quarantine-or-register reversal patch
ART-008,CL_PHASE_02_SOURCE_TO_TARGET_MAP.csv,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_SOURCE_TO_TARGET_MAP.csv,.csv,8241,2026-07-13T15:31:40Z,68973b9f448663baed4bb62d92b9fd7eb5fb3518574a27d2b808f745912cc878,source_to_target_map,EXPECTED,YES,N/A,YES,NO,PASS WITH PATCHES,MAPPING: several planned_target_path cells use compound ' + ' destinations; ambiguous single-destination requirement for file-level copy | MAPPING: MAP-013 CL-VI empty source correctly marks UNASSIGNED_NO_DIRECTORY
ART-009,CL_PHASE_02_TARGET_NAMESPACE_BLUEPRINT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_TARGET_NAMESPACE_BLUEPRINT.md,.md,7972,2026-07-13T15:30:23Z,6f1881679dd71f216e7dad3a7e7d48e81ba9f79b015d91ea60313deefb933d4b,namespace_blueprint,EXPECTED,YES,N/A,YES,YES,RETURN FOR REVISION,"INSTITUTIONAL: treats repository/root as ratified or canonical active authority; Phase 02B requires candidate language | TOPOLOGY: proposes 00_INSTITUTIONAL_CONTROL under program root while repo already has TG institutional lanes (01_constitution, 02_stewardship, 03_governance, 04_registries) — risk of second institutional hierarchy"
ART-010,CL_PHASE_02_TARGET_NAMESPACE_TREE.txt,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_TARGET_NAMESPACE_TREE.txt,.txt,3315,2026-07-13T15:30:42Z,31094d48427a2cc4d71e2625bf8581a580e5ec4323a8be1a928bb0baeb9fd692,namespace_tree,EXPECTED,YES,N/A,YES,NO,PASS WITH PATCHES,"TOPOLOGY: proposes 00_INSTITUTIONAL_CONTROL under program root while repo already has TG institutional lanes (01_constitution, 02_stewardship, 03_governance, 04_registries) — risk of second institutional hierarchy"
