verification_id,parent_record_id,exact_parent_path,path_exists,is_directory,child_count,occupancy_state,collision_with_rejected_namespace,expected_state_before_materialization,verification_result,verified_at_utc,notes
POV-001,DPP-001,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Ready for later AUTHORIZE_MATERIALIZATION; not created
POV-002,DPP-002,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Five deferred authority targets map here; parent still absent
POV-003,DPP-003,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Highest MIG-001A parent demand (15)
POV-004,DPP-004,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Pointer lane only; constitution not to be copied here
POV-005,DPP-005,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,CL-MIG-001B destination parent
POV-006,DPP-006,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\06_MIGRATION_BATCHES,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,No current mapping rows
POV-007,DPP-007,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_VOLUMES_ACTIVE,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Lifecycle parent; EXPANSION_VOLUMES remains separate existing occupancy
POV-008,DPP-008,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\20_SOURCE,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Lifecycle parent
POV-009,DPP-009,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\30_GENERATED_OUTPUT,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Lifecycle parent
POV-010,DPP-010,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\40_QC,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Lifecycle parent
POV-011,DPP-011,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\50_RELEASE_ASSEMBLY,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Lifecycle parent
POV-012,DPP-012,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\60_RELEASE_SNAPSHOTS,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Lifecycle parent
POV-013,DPP-013,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\70_ARCHIVE,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Lifecycle parent
POV-014,DPP-014,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Ancestor of provisional Chachipti classification parents
POV-015,DPP-015,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_TEMPORARY,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Lifecycle parent
POV-016,DPP-016,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Provisional only; depends on per-file classification outcomes
POV-017,DPP-017,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CORRECTIVE_INTAKES,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Provisional nested parent
POV-018,DPP-018,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CURSOR_PACKETS,NO,NO,0,PARENT_ABSENT,NO,ABSENT,PASS_ABSENT_AS_EXPECTED,2026-07-13T20:17:11Z,Provisional nested parent
POV-019,REJECTED-NS,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL,NO,NO,0,ABSENT_PROHIBITED,YES,MUST_REMAIN_ABSENT,PASS_REJECTED_PATH_ABSENT,2026-07-13T20:17:11Z,Rejected by RAT-CL-001; do not materialize
POV-020,REJECTED-NS,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\CL-VI,NO,NO,0,ABSENT_PROHIBITED,YES,MUST_REMAIN_ABSENT,PASS_REJECTED_PATH_ABSENT,2026-07-13T20:17:11Z,Prohibited; do not materialize
