parent_record_id,batch_id,exact_parent_path,normalized_absolute_path,parent_of_parent_path,parent_of_parent_exists,currently_exists,filesystem_type,direct_child_count,contains_files,contains_folders,occupancy_state,current_observed_purpose,proposed_purpose,purpose_compatible,record_types_allowed,lifecycle_state,required_by_mapping_count,path_length,path_validation_status,authority_state,ratification_reference
DPP-001,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,Admit program governance text after RAT-CL-003/006,N/A_PARENT_ABSENT,program_architecture; phase_closure_text; role_protocols_exports,PROGRAM_GOVERNANCE,4,102,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-003;RAT-CL-006
DPP-002,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,Program collection/state registries; five AUTHOR_FROM_RATIFICATION targets deferred under RAT-CL-007,N/A_PARENT_ABSENT,program_registry; state_map; mirror_register_pointers,PROGRAM_REGISTRY,5,102,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006;RAT-CL-007
DPP-003,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,Phase evidence copies/exports that remain program-scoped,N/A_PARENT_ABSENT,phase_evidence_md_json; quarantine_registers; source_root_maps,PROGRAM_EVIDENCE,15,98,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-003;RAT-CL-006
DPP-004,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,Pointers to TG institutional lanes and Drive binaries — never constitution copies,N/A_PARENT_ABSENT,external_reference; institutional_pointer; cl_xbin_reference,REFERENCE_ONLY,13,103,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006
DPP-005,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,Builder/migration JSON schemas after RAT-CL-004/006,N/A_PARENT_ABSENT,json_schema; builder_contract,BUILDER_CONTRACT,2,101,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-004;RAT-CL-006
DPP-006,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\06_MIGRATION_BATCHES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\06_MIGRATION_BATCHES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,"Per-batch manifests, receipts, dry-runs, rollback registers",N/A_PARENT_ABSENT,migration_manifest; copy_receipt; rollback_register,MIGRATION_CONTROL,0,101,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-005;RAT-CL-006
DPP-007,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_VOLUMES_ACTIVE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_VOLUMES_ACTIVE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,Admitted active/working volume trees (no CL-VI),N/A_PARENT_ABSENT,volume_trees,ACTIVE_VOLUME,0,79,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006
DPP-008,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\20_SOURCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\20_SOURCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,Program source materials separated from generated output,N/A_PARENT_ABSENT,source_packets; prompt_sources,SOURCE,0,71,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006
DPP-009,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\30_GENERATED_OUTPUT,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\30_GENERATED_OUTPUT,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,Generated page/issue imagery and derived renders,N/A_PARENT_ABSENT,generated_png; derived_assets,GENERATED_OUTPUT,0,81,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006
DPP-010,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\40_QC,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\40_QC,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,NO,ABSENT,0,NO,NO,PARENT_ABSENT,ABSENT,QC reports and quarantine registers at program level,N/A_PARENT_ABSENT,qc_reports; patch_registers,QC,0,67,PASS,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006
