review_record_id,candidate_record_id,mapping_id,batch_id,review_bucket,source_absolute_path,exact_target_parent,exact_target_path,source_exists,source_readable,hash_match,authority_resolved,classification_resolved,target_parent_exists,target_parent_compatible,target_absent,rollback_complete,no_chachipti_dependency,eligibility_status,blocking_reason
REV-001A-0001,CAND-02G-0001,MAP02C-0001,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL-OPS-001 — Crisis Liturgies Role Separation and Execution Protocol v1.0.gdoc,,,YES,YES,YES,NO,YES,NO,N/A,N/A,YES,YES,EXCLUDED,Drive .gdoc stub not portable; export required before any mapping admit
REV-001A-0002,CAND-02G-0002,MAP02C-0002,CL-MIG-001A,PROGRAM_GOVERNANCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0003,CAND-02G-0003,MAP02C-0003,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0004,CAND-02G-0004,MAP02C-0004,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0005,CAND-02G-0005,MAP02C-0005,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_PACKAGE_2026-07-13.zip,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_EVIDENCE_FREEZE_PACKAGE_2026-07-13.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_BINARY
REV-001A-0006,CAND-02G-0006,MAP02C-0006,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_FINAL_CLOSURE_AND_PHASE_01_CHARTER_2026-07-13.zip,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_FINAL_CLOSURE_AND_PHASE_01_CHARTER_2026-07-13.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_BINARY
REV-001A-0007,CAND-02G-0007,MAP02C-0007,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0008,CAND-02G-0008,MAP02C-0008,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0009,CAND-02G-0009,MAP02C-0009,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0010,CAND-02G-0010,MAP02C-0010,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0011,CAND-02G-0011,MAP02C-0011,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0012,CAND-02G-0012,MAP02C-0012,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0013,CAND-02G-0013,MAP02C-0013,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0014,CAND-02G-0014,MAP02C-0014,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0015,CAND-02G-0015,MAP02C-0015,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0016,CAND-02G-0016,MAP02C-0016,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
