collision_record_id,candidate_record_id,batch_id,source_path,exact_target_path,collision_type,severity,automatic_resolution_allowed,required_resolution
COL-02G-0001,CAND-02G-0002,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,NONE,S4,NO,N/A_NO_COLLISION
COL-02G-0002,CAND-02G-0003,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,NONE,S4,NO,N/A_NO_COLLISION
COL-02G-0003,CAND-02G-0004,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,NONE,S4,NO,N/A_NO_COLLISION
COL-02G-0004,CAND-02G-0007,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,NONE,S4,NO,N/A_NO_COLLISION
COL-02G-0005,CAND-02G-0008,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,NONE,S4,NO,N/A_NO_COLLISION
COL-02G-0006,CAND-02G-0009,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,NONE,S4,NO,N/A_NO_COLLISION
COL-02G-0007,CAND-02G-0010,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,NONE,S4,NO,N/A_NO_COLLISION
COL-02G-0008,CAND-02G-0011,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,NONE,S4,NO,N/A_NO_COLLISION
COL-02G-0009,CAND-02G-0012,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,NONE,S4,NO,N/A_NO_COLLISION
COL-02G-0010,CAND-02G-0013,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,NONE,S4,NO,N/A_NO_COLLISION
