decision_id,source_absolute_path,source_exists,source_readable,source_bytes,source_modified_time_utc,source_sha256_prior,source_sha256_current,hash_match
RAT-FILE-CL-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,YES,YES,9042,2026-07-13T03:14:19.2860000Z,cb3a680d903fe6bc0be6a23f640e2b67a3a2f0c700c847894f2db83cc91f4054,cb3a680d903fe6bc0be6a23f640e2b67a3a2f0c700c847894f2db83cc91f4054,YES
RAT-FILE-CL-003,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,YES,YES,8043,2026-07-13T12:43:19.2050000Z,748e10eb7b5cd97ecd4a9e380435257ae35820f95ea1c9b4908b4ad05aa2cd1e,748e10eb7b5cd97ecd4a9e380435257ae35820f95ea1c9b4908b4ad05aa2cd1e,YES
RAT-FILE-CL-004,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,YES,YES,8089,2026-07-13T12:41:59.5900000Z,275202a24950daea7ffc0a2a370448f424ace8e9e4b698b48447e13242073fd8,275202a24950daea7ffc0a2a370448f424ace8e9e4b698b48447e13242073fd8,YES
RAT-FILE-CL-005,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,YES,YES,4990,2026-07-13T12:41:43.7340000Z,98ebaec3f432ebf4d3cf34daf0e1fd8b40ac3bc6c0a29a9a3d8f377a9962dffe,98ebaec3f432ebf4d3cf34daf0e1fd8b40ac3bc6c0a29a9a3d8f377a9962dffe,YES
RAT-FILE-CL-006,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,YES,YES,2060,2026-07-13T12:41:53.3330000Z,66eef2386e14a8602738e7f9cc5f3cfd3c83cf50ba218ff043de7ea684e6967c,66eef2386e14a8602738e7f9cc5f3cfd3c83cf50ba218ff043de7ea684e6967c,YES
RAT-FILE-CL-007,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,YES,YES,10531,2026-07-13T12:43:03.8870000Z,6017f61299c9aa11319ef25fa505098dec4e0729800917f04e73da9c29115609,6017f61299c9aa11319ef25fa505098dec4e0729800917f04e73da9c29115609,YES
RAT-FILE-CL-008,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,YES,YES,4336,2026-07-13T12:41:10.6120000Z,af019314861256545b691307d9593f62f260e92c62c05c7b39c07cec18506228,af019314861256545b691307d9593f62f260e92c62c05c7b39c07cec18506228,YES
RAT-FILE-CL-009,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,YES,YES,24954,2026-07-13T12:42:44.0420000Z,ef53e1a4342cec06abd78ca04de2ee911a42809c0054f38a1a6916bd7f983434,ef53e1a4342cec06abd78ca04de2ee911a42809c0054f38a1a6916bd7f983434,YES
RAT-FILE-CL-010,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,YES,YES,11517,2026-07-13T12:41:00.2350000Z,e4caeaba165b32f76022b8194c68d3b3cc6c2d327376fe94db35044630a8ff29,e4caeaba165b32f76022b8194c68d3b3cc6c2d327376fe94db35044630a8ff29,YES
RAT-FILE-CL-011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,YES,YES,2054,2026-07-13T12:43:29.2020000Z,012d6f93f20d8399079688dd8b4fdeeea246468bc750ea2fe97814f4deb178ed,012d6f93f20d8399079688dd8b4fdeeea246468bc750ea2fe97814f4deb178ed,YES
RAT-FILE-CL-012,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,YES,YES,8606,2026-07-13T12:43:12.3710000Z,39723cf4cabfd16ccb106c4f4fd3ef106bce5a49760d91be7f1cef03de34cad1,39723cf4cabfd16ccb106c4f4fd3ef106bce5a49760d91be7f1cef03de34cad1,YES
RAT-FILE-CL-013,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,YES,YES,3635,2026-07-13T12:41:32.7860000Z,dad4f5dd49b9c685e903e4a7a516ab328e81501a4a29f334843dbc6c7348f87f,dad4f5dd49b9c685e903e4a7a516ab328e81501a4a29f334843dbc6c7348f87f,YES
