destination_artifact_id,artifact_type,ratification_decision_id,batch_id,authority_ratified,source_hash_verified_or_payload_hash_defined,destination_parent_exists,destination_parent_compatible,destination_absent,collision_free,path_valid,associated_artifact_defined,creation_sequence_valid,rollback_ready,batch_scope_valid,dry_run_result
DEST-ART-001,SOURCE_COPY,RAT-FILE-CL-001,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-002,SOURCE_COPY,RAT-FILE-CL-003,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-003,ADMISSION_SIDECAR,RAT-FILE-CL-003,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-004,SOURCE_COPY,RAT-FILE-CL-004,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-005,ADMISSION_SIDECAR,RAT-FILE-CL-004,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-006,SOURCE_COPY,RAT-FILE-CL-005,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-007,ADMISSION_SIDECAR,RAT-FILE-CL-005,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-008,SOURCE_COPY,RAT-FILE-CL-006,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-009,ADMISSION_SIDECAR,RAT-FILE-CL-006,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-010,SOURCE_COPY,RAT-FILE-CL-007,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-011,ADMISSION_SIDECAR,RAT-FILE-CL-007,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-012,SOURCE_COPY,RAT-FILE-CL-008,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-013,ADMISSION_SIDECAR,RAT-FILE-CL-008,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-014,SOURCE_COPY,RAT-FILE-CL-009,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-015,ADMISSION_SIDECAR,RAT-FILE-CL-009,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-016,SOURCE_COPY,RAT-FILE-CL-010,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-017,ADMISSION_SIDECAR,RAT-FILE-CL-010,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-018,SOURCE_COPY,RAT-FILE-CL-011,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-019,ADMISSION_SIDECAR,RAT-FILE-CL-011,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-020,SOURCE_COPY,RAT-FILE-CL-012,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-021,ADMISSION_SIDECAR,RAT-FILE-CL-012,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-022,SOURCE_COPY,RAT-FILE-CL-013,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-023,ADMISSION_SIDECAR,RAT-FILE-CL-013,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-024,SOURCE_COPY,RAT-FILE-CL-014,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-025,ADMISSION_SIDECAR,RAT-FILE-CL-014,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-026,SOURCE_COPY,RAT-FILE-CL-015,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-027,ADMISSION_SIDECAR,RAT-FILE-CL-015,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
