field,value
current_working_directory,C:\Users\steve\Projects\gradient-institution
repository_root,C:\Users\steve\Projects\gradient-institution
current_branch,main
HEAD_commit,2a434e89025dbd6d204f91e84a7a950d70f31c50
working_tree_status,DIRTY
phase_02i_execution_manifest_exists,YES
phase_02i_label_plan_exists,YES
authorized_parent_01_exists,YES
authorized_parent_03_exists,YES
authorized_parent_05_exists,YES
output_folder_exists,YES
authorized_parent_01_is_directory,YES
authorized_parent_03_is_directory,YES
authorized_parent_05_is_directory,YES
authorized_parent_01_empty_only,YES
authorized_parent_03_empty_only,YES
authorized_parent_05_empty_only,YES
