destination_artifact_id,associated_source_or_payload_hash,exact_destination_path,copy_or_generation_receipt_id,verification_required,dispute_status_on_failure,preserve_destination_on_failure,preserve_source_on_failure,deletion_authorization_required,rollback_status,rollback_is_not_deletion
DEST-ART-001,cb3a680d903fe6bc0be6a23f640e2b67a3a2f0c700c847894f2db83cc91f4054,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,RECEIPT-PENDING-DEST-ART-001,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-002,748e10eb7b5cd97ecd4a9e380435257ae35820f95ea1c9b4908b4ad05aa2cd1e,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,RECEIPT-PENDING-DEST-ART-002,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-003,1253df93af20f25893a48103f8451d9843767c9f84d90b021f9ab864614f1b9f,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json.admission.json,RECEIPT-PENDING-DEST-ART-003,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-004,275202a24950daea7ffc0a2a370448f424ace8e9e4b698b48447e13242073fd8,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,RECEIPT-PENDING-DEST-ART-004,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-005,846f728a1069e2d503bc64efc23e5d71bb7011c90c080d446e65629e8e2b739a,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-005,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-006,98ebaec3f432ebf4d3cf34daf0e1fd8b40ac3bc6c0a29a9a3d8f377a9962dffe,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,RECEIPT-PENDING-DEST-ART-006,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-007,302870a20c5d02bf97000a953b035e407e71bf2fce21ceab5d4532844c3cfd17,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-007,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-008,66eef2386e14a8602738e7f9cc5f3cfd3c83cf50ba218ff043de7ea684e6967c,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,RECEIPT-PENDING-DEST-ART-008,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-009,697bbf9cec80e598d571b2296690478f66c5315ed27d9ee0d8f87ff50b86b79a,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-009,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-010,6017f61299c9aa11319ef25fa505098dec4e0729800917f04e73da9c29115609,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,RECEIPT-PENDING-DEST-ART-010,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
