sidecar_id,associated_ratification_decision_id,sidecar_filename,exact_sidecar_path,direct_parent_exists,sidecar_target_exists,case_insensitive_collision,file_folder_type_conflict,duplicate_sidecar_target,invalid_windows_character,reserved_windows_name,windows_path_length,payload_sha256,collision_status,automatic_collision_resolution
ADMIT-SC-001,RAT-FILE-CL-003,CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json.admission.json,YES,NO,NO,NO,NO,NO,NO,187:OK,1253df93af20f25893a48103f8451d9843767c9f84d90b021f9ab864614f1b9f,CLEAR,NO
ADMIT-SC-002,RAT-FILE-CL-004,CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,185:OK,846f728a1069e2d503bc64efc23e5d71bb7011c90c080d446e65629e8e2b739a,CLEAR,NO
ADMIT-SC-003,RAT-FILE-CL-005,CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,172:OK,302870a20c5d02bf97000a953b035e407e71bf2fce21ceab5d4532844c3cfd17,CLEAR,NO
ADMIT-SC-004,RAT-FILE-CL-006,CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,173:OK,697bbf9cec80e598d571b2296690478f66c5315ed27d9ee0d8f87ff50b86b79a,CLEAR,NO
ADMIT-SC-005,RAT-FILE-CL-007,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json.admission.json,YES,NO,NO,NO,NO,NO,NO,164:OK,76b50d2e8aa002bb1692cda21d33efe5a8997466eb7ab28ecfe0f478c5e32667,CLEAR,NO
ADMIT-SC-006,RAT-FILE-CL-008,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,162:OK,fadf4bd20f53311f963a137bb421205f7c933943bb9e2178ecf526688b18dded,CLEAR,NO
ADMIT-SC-007,RAT-FILE-CL-009,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json.admission.json,YES,NO,NO,NO,NO,NO,NO,166:OK,a31372a6b23df0b4d8d8f42ae991cca4693270329a46bd9457eda43ed390f9f6,CLEAR,NO
ADMIT-SC-008,RAT-FILE-CL-010,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,164:OK,a74512c67be539af5b6588adc211b6491879ae1ed8d8ffd540aeeb8c6a382c93,CLEAR,NO
ADMIT-SC-009,RAT-FILE-CL-011,CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json.admission.json,YES,NO,NO,NO,NO,NO,NO,158:OK,222fe24774bb9747fb8b64b2d04e04c8566a6f8177e9e5d9e373efada26b29c3,CLEAR,NO
ADMIT-SC-010,RAT-FILE-CL-012,CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json.admission.json,YES,NO,NO,NO,NO,NO,NO,161:OK,272f95aeb6f802a72e6e960a0a40130d62da87f3f970e30c8da8a57d41b94413,CLEAR,NO
ADMIT-SC-011,RAT-FILE-CL-013,CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,159:OK,e31c97592a1b2ddd7ce1ad790cc8c4601b126bb3e5db7ff1ec5a40815c6dc427,CLEAR,NO
ADMIT-SC-012,RAT-FILE-CL-014,CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json.admission.json,YES,NO,NO,NO,NO,NO,NO,157:OK,ba06d7edd108517df80791cedbb3771dcc4b7e28069470853d069902520a91d7,CLEAR,NO
ADMIT-SC-013,RAT-FILE-CL-015,CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,155:OK,e2c06c74eb0b6c29cdbbd829d1bf66a12dd8e6bf6110db5517fecc21cabc1d54,CLEAR,NO
ADMIT-SC-014,RAT-FILE-CL-016,CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json.admission.json,YES,NO,NO,NO,NO,NO,NO,179:OK,c8f336442093f03abf9ea9c48f4b3a1ec0dc4e95548f8b1afb76311ce441b3d9,CLEAR,NO
ADMIT-SC-015,RAT-FILE-CL-017,CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,177:OK,4799d92781882cddc8f3fb826b9a87a74b613aa00ff93ff7284ac3b65645a64b,CLEAR,NO
ADMIT-SC-016,RAT-FILE-CL-018,CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,154:OK,9e47e5575dd7d5007d657119eb59777276fb7ba4fd3a922cc2dc7ed6fa5647cb,CLEAR,NO
ADMIT-SC-017,RAT-FILE-CL-019,CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md.admission.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md.admission.json,YES,NO,NO,NO,NO,NO,NO,171:OK,e79208156a7253c087186b5aa5d51f70072818929923d874ec4fe7d1647a76a3,CLEAR,NO
