destination_artifact_id,ratification_decision_id,associated_source_artifact_id,associated_destination_path,associated_filename,exact_sidecar_path,sidecar_exists_after,sidecar_type_after,sidecar_bytes,sidecar_sha256,authorized_payload_sha256,payload_hash_match,valid_json,required_fields_present,association_match,authority_state,operative_status,ratification_set,sidecar_status,creation_sequence_step
DEST-ART-003,RAT-FILE-CL-003,DEST-ART-002,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json.admission.json,YES,FILE,1121,1253df93af20f25893a48103f8451d9843767c9f84d90b021f9ab864614f1b9f,1253df93af20f25893a48103f8451d9843767c9f84d90b021f9ab864614f1b9f,YES,YES,YES,YES,OPERATIVE_PROGRAM_AUTHORITY,OPERATIVE_WITH_REPOSITORY_CANDIDATE_LIMITATION,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,5
DEST-ART-005,RAT-FILE-CL-004,DEST-ART-004,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md.admission.json,YES,FILE,1117,846f728a1069e2d503bc64efc23e5d71bb7011c90c080d446e65629e8e2b739a,846f728a1069e2d503bc64efc23e5d71bb7011c90c080d446e65629e8e2b739a,YES,YES,YES,YES,OPERATIVE_PROGRAM_AUTHORITY,OPERATIVE_WITH_REPOSITORY_CANDIDATE_LIMITATION,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,9
DEST-ART-007,RAT-FILE-CL-005,DEST-ART-006,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md.admission.json,YES,FILE,1171,302870a20c5d02bf97000a953b035e407e71bf2fce21ceab5d4532844c3cfd17,302870a20c5d02bf97000a953b035e407e71bf2fce21ceab5d4532844c3cfd17,YES,YES,YES,YES,ADMITTED_PHASE_EVIDENCE,NONOPERATIVE,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,13
DEST-ART-009,RAT-FILE-CL-006,DEST-ART-008,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md.admission.json,YES,FILE,1173,697bbf9cec80e598d571b2296690478f66c5315ed27d9ee0d8f87ff50b86b79a,697bbf9cec80e598d571b2296690478f66c5315ed27d9ee0d8f87ff50b86b79a,YES,YES,YES,YES,ADMITTED_PHASE_EVIDENCE,NONOPERATIVE,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,17
DEST-ART-011,RAT-FILE-CL-007,DEST-ART-010,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json.admission.json,YES,FILE,1155,76b50d2e8aa002bb1692cda21d33efe5a8997466eb7ab28ecfe0f478c5e32667,76b50d2e8aa002bb1692cda21d33efe5a8997466eb7ab28ecfe0f478c5e32667,YES,YES,YES,YES,ADMITTED_PHASE_EVIDENCE,NONOPERATIVE,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,21
DEST-ART-013,RAT-FILE-CL-008,DEST-ART-012,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md.admission.json,YES,FILE,1151,fadf4bd20f53311f963a137bb421205f7c933943bb9e2178ecf526688b18dded,fadf4bd20f53311f963a137bb421205f7c933943bb9e2178ecf526688b18dded,YES,YES,YES,YES,ADMITTED_PHASE_EVIDENCE,NONOPERATIVE,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,25
DEST-ART-015,RAT-FILE-CL-009,DEST-ART-014,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json.admission.json,YES,FILE,1159,a31372a6b23df0b4d8d8f42ae991cca4693270329a46bd9457eda43ed390f9f6,a31372a6b23df0b4d8d8f42ae991cca4693270329a46bd9457eda43ed390f9f6,YES,YES,YES,YES,ADMITTED_PHASE_EVIDENCE,NONOPERATIVE,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,29
DEST-ART-017,RAT-FILE-CL-010,DEST-ART-016,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md.admission.json,YES,FILE,1155,a74512c67be539af5b6588adc211b6491879ae1ed8d8ffd540aeeb8c6a382c93,a74512c67be539af5b6588adc211b6491879ae1ed8d8ffd540aeeb8c6a382c93,YES,YES,YES,YES,ADMITTED_PHASE_EVIDENCE,NONOPERATIVE,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,33
DEST-ART-019,RAT-FILE-CL-011,DEST-ART-018,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json.admission.json,YES,FILE,1143,222fe24774bb9747fb8b64b2d04e04c8566a6f8177e9e5d9e373efada26b29c3,222fe24774bb9747fb8b64b2d04e04c8566a6f8177e9e5d9e373efada26b29c3,YES,YES,YES,YES,ADMITTED_PHASE_EVIDENCE,NONOPERATIVE,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,37
DEST-ART-021,RAT-FILE-CL-012,DEST-ART-020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json.admission.json,YES,FILE,1149,272f95aeb6f802a72e6e960a0a40130d62da87f3f970e30c8da8a57d41b94413,272f95aeb6f802a72e6e960a0a40130d62da87f3f970e30c8da8a57d41b94413,YES,YES,YES,YES,ADMITTED_PHASE_EVIDENCE,NONOPERATIVE,FILE-AUTHORITY-SET-CL-001,VERIFIED_ADMISSION_SIDECAR,41
