verification_record_id,repository_relative_path,authorized,staged,staged_status,allowlist_status,set_match
VRF-02N-0001,CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0002,CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0003,CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0004,CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0005,CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0006,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0007,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0008,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0009,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0010,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0011,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0012,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0013,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0014,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0015,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0016,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
