path,relative_path,kind,bytes,occupancy_class,cl_mig_001_in_scope,notes
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE,00_CHACHIPTI_PRODUCTION_LANE,DIR,,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE.zip,00_CHACHIPTI_PRODUCTION_LANE.zip,FILE,22972,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,00_PROJECT_CONTROL,DIR,,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES,EXPANSION_VOLUMES,DIR,,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_CORRECTIVE_LANE_PROTOCOL.md,00_CHACHIPTI_PRODUCTION_LANE/CL_CHACHIPTI_CORRECTIVE_LANE_PROTOCOL.md,FILE,7948,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_ENGINE_CONTRACTS.md,00_CHACHIPTI_PRODUCTION_LANE/CL_CHACHIPTI_ENGINE_CONTRACTS.md,FILE,1217,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_MASTER_HANDOFF.md,00_CHACHIPTI_PRODUCTION_LANE/CL_CHACHIPTI_MASTER_HANDOFF.md,FILE,24101,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CURSOR_PACKET_EMIT_SPEC.md,00_CHACHIPTI_PRODUCTION_LANE/CL_CURSOR_PACKET_EMIT_SPEC.md,FILE,5146,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_SERIES_STATUS_MAP.md,00_CHACHIPTI_PRODUCTION_LANE/CL_SERIES_STATUS_MAP.md,FILE,7851,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CORRECTIVE_INTAKES,00_CHACHIPTI_PRODUCTION_LANE/CORRECTIVE_INTAKES,DIR,,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CURSOR_PACKETS,00_CHACHIPTI_PRODUCTION_LANE/CURSOR_PACKETS,DIR,,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\QUICKSTART.md,00_CHACHIPTI_PRODUCTION_LANE/QUICKSTART.md,FILE,1540,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\README.md,00_CHACHIPTI_PRODUCTION_LANE/README.md,FILE,1864,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC,DIR,,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR,00_PROJECT_CONTROL/CL_PHASE_02C_PLANNING_REPAIR,DIR,,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING,00_PROJECT_CONTROL/CL_PHASE_02_PLANNING,DIR,,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING_REVIEW_2026-07-13.zip.zip,00_PROJECT_CONTROL/CL_PHASE_02_PLANNING_REVIEW_2026-07-13.zip.zip,FILE,24273,PREMIGRATION_OCCUPANCY,YES_PLANNING_DIR,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES\CL-EV-001_THE_PYGMALION_MACHINE,EXPANSION_VOLUMES/CL-EV-001_THE_PYGMALION_MACHINE,DIR,,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CORRECTIVE_INTAKES\README.md,00_CHACHIPTI_PRODUCTION_LANE/CORRECTIVE_INTAKES/README.md,FILE,120,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CURSOR_PACKETS\README.md,00_CHACHIPTI_PRODUCTION_LANE/CURSOR_PACKETS/README.md,FILE,125,PREMIGRATION_OCCUPANCY,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_MIG_001_AUTHORITY_EXCEPTION_LEDGER.csv,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_AUTHORITY_EXCEPTION_LEDGER.csv,FILE,3733,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_MIG_001_BATCH_SCOPE.md,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_BATCH_SCOPE.md,FILE,2467,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_MIG_001_COLLISION_MATRIX.csv,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_COLLISION_MATRIX.csv,FILE,26916,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_MIG_001_FILE_LEVEL_MANIFEST.csv,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_FILE_LEVEL_MANIFEST.csv,FILE,65229,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_MIG_001_ROLLBACK_VALIDATION.md,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_ROLLBACK_VALIDATION.md,FILE,1967,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_MIG_001_ZERO_WRITE_DRY_RUN.csv,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_ZERO_WRITE_DRY_RUN.csv,FILE,7538,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_PHASE_02B_ARTIFACT_REGISTER.csv,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_PHASE_02B_ARTIFACT_REGISTER.csv,FILE,5642,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_PHASE_02B_DESTINATION_OCCUPANCY.csv,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_PHASE_02B_DESTINATION_OCCUPANCY.csv,FILE,7445,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_PHASE_02B_EXECUTION_RECEIPT.yaml,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_PHASE_02B_EXECUTION_RECEIPT.yaml,FILE,3231,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_PHASE_02B_PLANNING_PACKET_QC.md,00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_PHASE_02B_PLANNING_PACKET_QC.md,FILE,5075,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_MIG_001A_PROGRAM_GOVERNANCE_SCOPE.md,00_PROJECT_CONTROL/CL_PHASE_02C_PLANNING_REPAIR/CL_MIG_001A_PROGRAM_GOVERNANCE_SCOPE.md,FILE,2741,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_MIG_001B_BUILDER_SCHEMA_SCOPE.md,00_PROJECT_CONTROL/CL_PHASE_02C_PLANNING_REPAIR/CL_MIG_001B_BUILDER_SCHEMA_SCOPE.md,FILE,1658,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_EXECUTION_RECEIPT.yaml,00_PROJECT_CONTROL/CL_PHASE_02C_PLANNING_REPAIR/CL_PHASE_02C_EXECUTION_RECEIPT.yaml,FILE,3551,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,00_PROJECT_CONTROL/CL_PHASE_02C_PLANNING_REPAIR/CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,FILE,2690,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,00_PROJECT_CONTROL/CL_PHASE_02C_PLANNING_REPAIR/CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,FILE,7746,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_NON_DESTRUCTIVE_ROLLBACK_DOCTRINE.md,00_PROJECT_CONTROL/CL_PHASE_02C_PLANNING_REPAIR/CL_PHASE_02C_NON_DESTRUCTIVE_ROLLBACK_DOCTRINE.md,FILE,2566,PREMIGRATION_OCCUPANCY,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_RATIFICATION_DECISION_REGISTER.csv,00_PROJECT_CONTROL/CL_PHASE_02C_PLANNING_REPAIR/CL_PHASE_02C_RATIFICATION_DECISION_REGISTER.csv,FILE,3968,PREMIGRATION_OCCUPANCY,INSPECT,
