path,relative_path,kind,bytes,occupancy_class,cl_mig_001_in_scope,notes
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE,00_CHACHIPTI_PRODUCTION_LANE,DIR,,PREMIGRATION_TOP,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE.zip,00_CHACHIPTI_PRODUCTION_LANE.zip,FILE,22972,PREMIGRATION_TOP,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,00_PROJECT_CONTROL,DIR,,PREMIGRATION_TOP,INSPECT,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES,EXPANSION_VOLUMES,DIR,,PREMIGRATION_TOP,NO,
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,00_INSTITUTIONAL_CONTROL/authority/CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,PROPOSED_TARGET,9042,PARENT_ABSENT,YES,MIG-0001|PLANNED
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,00_PROJECT_CONTROL/CL_PHASE_00_EVIDENCE/CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,PROPOSED_TARGET,4990,PARENT_ABSENT,YES,MIG-0002|PLANNED
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,00_PROJECT_CONTROL/CL_PHASE_00_EVIDENCE/CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,PROPOSED_TARGET,2060,PARENT_ABSENT,YES,MIG-0003|PLANNED
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,00_PROJECT_CONTROL/CL_PHASE_00_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,PROPOSED_TARGET,10531,PARENT_ABSENT,YES,MIG-0004|PLANNED
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,00_PROJECT_CONTROL/CL_PHASE_00_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,PROPOSED_TARGET,4336,PARENT_ABSENT,YES,MIG-0005|PLANNED
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,00_PROJECT_CONTROL/CL_PHASE_00_EVIDENCE/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,PROPOSED_TARGET,24954,PARENT_ABSENT,YES,MIG-0006|PLANNED
