batch_id,source_file,line_no,matched_text,pattern_family,referenced_path,referenced_exists,planned_target_if_any,risk,remediation
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,5,00_CHACHIPTI_PRODUCTION_LANE,LEGACY_TOPOLOGY_REF,00_CHACHIPTI_PRODUCTION_LANE,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,17,C:\Users\steve\My,ABS_PATH,C:\Users\steve\My,false,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,17,My Drive\The Gradient,DRIVE_ROOT_REF,My Drive\The Gradient,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,18,C:\Users\steve\Projects\gradient-institution`,ABS_PATH,C:\Users\steve\Projects\gradient-institution`,false,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,29,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES\CL-EV-001_THE_PYGMALION_MACHINE`,ABS_PATH,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES\CL-EV-001_THE_PYGMALION_MACHINE`,false,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,WARN,REWRITE_ON_COPY
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,29,EXPANSION_VOLUMES,LEGACY_TOPOLOGY_REF,EXPANSION_VOLUMES,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,30,C:\Users\steve\My,ABS_PATH,C:\Users\steve\My,false,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,30,My Drive\The Gradient,DRIVE_ROOT_REF,My Drive\The Gradient,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,31,CRISIS_LITURGIES_V_,LEGACY_TOPOLOGY_REF,CRISIS_LITURGIES_V_,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,40,C:\Users\steve\My,ABS_PATH,C:\Users\steve\My,false,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,WARN,LEAVE
