item_id,source_path,source_exists_after,bytes_unchanged,hash_unchanged,pre_sha256,post_sha256,result
MIG-0001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,YES,YES,YES,cb3a680d903fe6bc0be6a23f640e2b67a3a2f0c700c847894f2db83cc91f4054,cb3a680d903fe6bc0be6a23f640e2b67a3a2f0c700c847894f2db83cc91f4054,RETAINED
MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,YES,YES,YES,98ebaec3f432ebf4d3cf34daf0e1fd8b40ac3bc6c0a29a9a3d8f377a9962dffe,98ebaec3f432ebf4d3cf34daf0e1fd8b40ac3bc6c0a29a9a3d8f377a9962dffe,RETAINED
MIG-0003,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,YES,YES,YES,66eef2386e14a8602738e7f9cc5f3cfd3c83cf50ba218ff043de7ea684e6967c,66eef2386e14a8602738e7f9cc5f3cfd3c83cf50ba218ff043de7ea684e6967c,RETAINED
MIG-0004,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,YES,YES,YES,6017f61299c9aa11319ef25fa505098dec4e0729800917f04e73da9c29115609,6017f61299c9aa11319ef25fa505098dec4e0729800917f04e73da9c29115609,RETAINED
MIG-0005,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,YES,YES,YES,af019314861256545b691307d9593f62f260e92c62c05c7b39c07cec18506228,af019314861256545b691307d9593f62f260e92c62c05c7b39c07cec18506228,RETAINED
MIG-0006,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,YES,YES,YES,ef53e1a4342cec06abd78ca04de2ee911a42809c0054f38a1a6916bd7f983434,ef53e1a4342cec06abd78ca04de2ee911a42809c0054f38a1a6916bd7f983434,RETAINED
MIG-0007,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,YES,YES,YES,e4caeaba165b32f76022b8194c68d3b3cc6c2d327376fe94db35044630a8ff29,e4caeaba165b32f76022b8194c68d3b3cc6c2d327376fe94db35044630a8ff29,RETAINED
MIG-0008,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,YES,YES,YES,012d6f93f20d8399079688dd8b4fdeeea246468bc750ea2fe97814f4deb178ed,012d6f93f20d8399079688dd8b4fdeeea246468bc750ea2fe97814f4deb178ed,RETAINED
MIG-0009,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,YES,YES,YES,39723cf4cabfd16ccb106c4f4fd3ef106bce5a49760d91be7f1cef03de34cad1,39723cf4cabfd16ccb106c4f4fd3ef106bce5a49760d91be7f1cef03de34cad1,RETAINED
MIG-0010,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,YES,YES,YES,dad4f5dd49b9c685e903e4a7a516ab328e81501a4a29f334843dbc6c7348f87f,dad4f5dd49b9c685e903e4a7a516ab328e81501a4a29f334843dbc6c7348f87f,RETAINED
