item_id,exception_class,severity,detail
MIG-0001,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority
MIG-0002,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0003,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0004,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0005,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0006,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0007,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0008,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0009,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0010,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0011,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0012,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0013,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
