batch_id,item_id,source_file,line_no,matched_text,pattern_family,referenced_path,referenced_exists,risk,remediation
CL-MIG-001,MIG-0001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,5,00_CHACHIPTI_PRODUCTION_LANE,LEGACY_TOPOLOGY_REF,00_CHACHIPTI_PRODUCTION_LANE,unknown,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,17,C:\Users\steve\My,ABS_PATH,C:\Users\steve\My,false,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,17,My Drive\The Gradient,DRIVE_ROOT_REF,My Drive\The Gradient,unknown,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,18,C:\Users\steve\Projects\gradient-institution`,ABS_PATH,C:\Users\steve\Projects\gradient-institution`,false,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,29,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES\CL-EV-001_THE_PYGMALION_MACHINE`,ABS_PATH,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES\CL-EV-001_THE_PYGMALION_MACHINE`,false,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,29,EXPANSION_VOLUMES,LEGACY_TOPOLOGY_REF,EXPANSION_VOLUMES,unknown,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,30,C:\Users\steve\My,ABS_PATH,C:\Users\steve\My,false,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,30,My Drive\The Gradient,DRIVE_ROOT_REF,My Drive\The Gradient,unknown,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,31,CRISIS_LITURGIES_V_,LEGACY_TOPOLOGY_REF,CRISIS_LITURGIES_V_,unknown,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,40,C:\Users\steve\My,ABS_PATH,C:\Users\steve\My,false,WARN,LEAVE
CL-MIG-001,MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,40,My Drive\The Gradient,DRIVE_ROOT_REF,My Drive\The Gradient,unknown,WARN,LEAVE
CL-MIG-001,MIG-0004,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,179,C:\\Users\\steve\\Projects\\gradient-institution.,ABS_PATH,C:\\Users\\steve\\Projects\\gradient-institution.,true,WARN,LEAVE
CL-MIG-001,MIG-0004,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,180,C:\\Users\\steve\\My,ABS_PATH,C:\\Users\\steve\\My,false,WARN,LEAVE
