path,git_status,classification,likely_originating_phase_or_project,uniqueness,tracked_modified_or_untracked,recommended_disposition,action_currently_authorized,notes
08_platform/README.md, M,PLATFORM_OR_PUBLICATION_WORK,08_platform / tg-web-001 / root README,DUPLICATED_BASENAME_ELSEWHERE (6 other path(s)),modified,REVIEW_FOR_SEPARATE_COMMIT,NO — no platform commit authorized in this pass,Preexisting platform/publication working tree; outside CL-MIG-001 allowlist.
08_platform/tg-web-001/assets/pdf/README.md, M,PLATFORM_OR_PUBLICATION_WORK,08_platform / tg-web-001 / root README,DUPLICATED_BASENAME_ELSEWHERE (6 other path(s)),modified,REVIEW_FOR_SEPARATE_COMMIT,NO — no platform commit authorized in this pass,Preexisting platform/publication working tree; outside CL-MIG-001 allowlist.
08_platform/tg-web-001/data/companion.json, M,PLATFORM_OR_PUBLICATION_WORK,08_platform / tg-web-001 / root README,UNIQUE_BASENAME,modified,REVIEW_FOR_SEPARATE_COMMIT,NO — no platform commit authorized in this pass,Preexisting platform/publication working tree; outside CL-MIG-001 allowlist.
08_platform/tg-web-001/docs/TG-WEB-001_INSTITUTIONAL_RECORD.md, M,PLATFORM_OR_PUBLICATION_WORK,08_platform / tg-web-001 / root README,UNIQUE_BASENAME,modified,REVIEW_FOR_SEPARATE_COMMIT,NO — no platform commit authorized in this pass,Preexisting platform/publication working tree; outside CL-MIG-001 allowlist.
README.md, M,PLATFORM_OR_PUBLICATION_WORK,08_platform / tg-web-001 / root README,DUPLICATED_BASENAME_ELSEWHERE (6 other path(s)),modified,REVIEW_FOR_SEPARATE_COMMIT,NO — no platform commit authorized in this pass,Preexisting platform/publication working tree; outside CL-MIG-001 allowlist.
08_platform/tg-web-001/docs/CLEV001_PUBLIC_RELEASE_RECORD.md,??,PLATFORM_OR_PUBLICATION_WORK,08_platform / tg-web-001 / root README,UNIQUE_BASENAME,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO — no platform commit authorized in this pass,Preexisting platform/publication working tree; outside CL-MIG-001 allowlist.
CRISIS_LITURGIES/00_CHACHIPTI_PRODUCTION_LANE/CL_CHACHIPTI_CORRECTIVE_LANE_PROTOCOL.md,??,CHACHIPTI_CONTROLLED_MATERIAL,CL-MIG-008 deferred / Chachipti production lane,UNIQUE_BASENAME,untracked,PRESERVE,NO — Chachipti deferred from CL-MIG-001; no lane action authorized,Remains separate from closed CL-MIG-001 governance batch.
CRISIS_LITURGIES/00_CHACHIPTI_PRODUCTION_LANE/CL_CHACHIPTI_ENGINE_CONTRACTS.md,??,CHACHIPTI_CONTROLLED_MATERIAL,CL-MIG-008 deferred / Chachipti production lane,UNIQUE_BASENAME,untracked,PRESERVE,NO — Chachipti deferred from CL-MIG-001; no lane action authorized,Remains separate from closed CL-MIG-001 governance batch.
CRISIS_LITURGIES/00_CHACHIPTI_PRODUCTION_LANE/CL_CHACHIPTI_MASTER_HANDOFF.md,??,CHACHIPTI_CONTROLLED_MATERIAL,CL-MIG-008 deferred / Chachipti production lane,UNIQUE_BASENAME,untracked,PRESERVE,NO — Chachipti deferred from CL-MIG-001; no lane action authorized,Remains separate from closed CL-MIG-001 governance batch.
CRISIS_LITURGIES/00_CHACHIPTI_PRODUCTION_LANE/CL_CURSOR_PACKET_EMIT_SPEC.md,??,CHACHIPTI_CONTROLLED_MATERIAL,CL-MIG-008 deferred / Chachipti production lane,UNIQUE_BASENAME,untracked,PRESERVE,NO — Chachipti deferred from CL-MIG-001; no lane action authorized,Remains separate from closed CL-MIG-001 governance batch.
